rebalance_date,ticker,weight,score
2006-09-29,BKNG,0.15,0.12867445526911425
2006-09-29,AAPL,0.11063629133364716,0.04941567972418136
2006-09-29,NVDA,0.09912469804448402,0.0396673611111111
2006-09-29,MDLZ,0.08429020280013991,0.028682945818289347
2006-09-29,CTSH,0.0796339394865815,0.025601532134195526
2006-09-29,EA,0.07080253115678187,0.02023797814760456
2006-09-29,IDXX,0.06929563560478885,0.019385692532614036
2006-09-29,ILMN,0.06463460333293973,0.016865519798573606
2006-09-29,REGN,0.0618593319345214,0.015448275499158998
2006-09-29,ASML,0.060433904600531496,0.014744527656486216
2006-09-29,DLTR,0.06031426651751303,0.014686207381610175
2006-09-29,PCAR,0.05228314358673192,0.011035523486655164
2006-09-29,CSCO,0.05180779820272304,0.010835771193406864
2006-09-29,ADBE,0.051574632979633876,0.010738456129685563
2006-09-29,INTU,0.05130626766524787,0.010626993137820388
2006-09-29,GILD,0.0481574454841493,0.0093625993330018
2006-09-29,EXC,0.046809709199045396,0.008845888100701515
2006-09-29,AEP,0.029271877358654354,0.0034591604661850473
2006-09-29,MSFT,0.0289719586530997,0.003388638716559535
2006-09-29,FISV,0.02879176205878563,0.0033466172414980677
2006-10-31,BKNG,0.1371665687287892,0.18297796625402762
2006-10-31,AAPL,0.05453382794604393,0.0289223923955598
2006-10-31,NVDA,0.09782916716504496,0.09307626756584973
2006-10-31,EA,0.0312718204134928,0.009510614391185257
2006-10-31,ILMN,0.10878616351861121,0.11509317449398636
2006-10-31,REGN,0.11785972945277641,0.13509308718811738
2006-10-31,ASML,0.03230685586495324,0.01015059815112826
2006-10-31,DLTR,0.028286779789201653,0.00778160650262709
2006-10-31,CSCO,0.08449173805703011,0.06942737331691107
2006-10-31,ADBE,0.05027364622053079,0.02458006438007588
2006-10-31,INTU,0.06717528992346739,0.04388552980707725
2006-10-31,GILD,0.04328177741300027,0.018218491789297835
2006-10-31,AEP,0.058304393978798,0.03306014986796812
2006-10-31,MSFT,0.05994370866676659,0.034945355627135376
2006-10-31,FISV,0.03105078792252314,0.009376645492854697
2006-10-31,AMZN,0.07838011518425358,0.0597467163244595
2006-10-31,GOOGL,0.06895805536077795,0.04624579591031899
2006-10-31,VRTX,0.05902021607105696,0.03387691363590029
2006-10-31,SNPS,0.04661983327918262,0.02113701613374581
2006-10-31,INTC,0.04445952504369944,0.01922347443633593
2006-11-30,BKNG,0.06671134322728507,0.08189038512105723
2006-11-30,AAPL,0.09997563800443784,0.18391701587580755
2006-11-30,NVDA,0.13385087183658986,0.32966736111111117
2006-11-30,EA,0.04063747353501534,0.030386938189686435
2006-11-30,ILMN,0.06301855452030897,0.07307526818221789
2006-11-30,REGN,0.12569455912722177,0.29071437113149573
2006-11-30,ASML,0.041844922366972424,0.03221952073786474
2006-11-30,CSCO,0.06545629437627579,0.0788381407538235
2006-11-30,ADBE,0.06510975024989465,0.07800556773382725
2006-11-30,AEP,0.036410368364732555,0.024394037581691414
2006-11-30,MSFT,0.052666753192002036,0.05103952624630179
2006-11-30,FISV,0.03409648050773894,0.021392061999039983
2006-11-30,AMZN,0.05292676360220875,0.051544724143100726
2006-11-30,GOOGL,0.057057015458792416,0.059903423717305324
2006-11-30,VRTX,0.07774963276980268,0.11123212546482586
2006-11-30,SNPS,0.0753177070997136,0.10438250710191133
2006-11-30,INTC,0.03949484248322552,0.028702142431834495
2006-11-30,LRCX,0.058744475243709925,0.06349910446545028
2006-11-30,PCAR,0.056833318407732446,0.0594346312031177
2006-11-30,CTSH,0.05640323562633956,0.05853849867161283
2006-12-29,BKNG,0.07329226534963115,0.08685823656003863
2006-12-29,AAPL,0.07386174035705305,0.08821324336055264
2006-12-29,NVDA,0.1295947257983432,0.2715622332750161
2006-12-29,ILMN,0.054302983340383686,0.04768064229309549
2006-12-29,REGN,0.08594425980069056,0.11943413497058436
2006-12-29,ASML,0.028495884865528967,0.01312982725118443
2006-12-29,CSCO,0.06691220040506704,0.07239446134353925
2006-12-29,ADBE,0.051599264456901744,0.04305085083006548
2006-12-29,AEP,0.040611080891110866,0.026667592776930205
2006-12-29,MSFT,0.039137018340293206,0.02476681664100057
2006-12-29,FISV,0.02581940561481862,0.010779216572991718
2006-12-29,AMZN,0.030832317823533975,0.015371174946964737
2006-12-29,GOOGL,0.01617466166829143,0.00423024116960844
2006-12-29,SNPS,0.0919315979151495,0.13665462512122342
2006-12-29,LRCX,0.01893238270201696,0.005795691588156227
2006-12-29,PCAR,0.04731594409036022,0.03620009724719177
2006-12-29,CTSH,0.022650592230159163,0.00829571533091777
2006-12-29,KLAC,0.027565930304555047,0.012286834963629974
2006-12-29,VGK,0.02583577286038051,0.010792887066155152
2006-12-29,WBD,0.024189971185731213,0.009461618204630996
2007-01-31,BKNG,0.05569987864728568,0.034968508250507
2007-01-31,AAPL,0.05199641881586855,0.030473018424361967
2007-01-31,NVDA,0.019174554647068312,0.004143994584998072
2007-01-31,REGN,0.05070681948260369,0.028980198079729683
2007-01-31,ASML,0.05549938985333437,0.03471722667781737
2007-01-31,CSCO,0.08653888062608923,0.08440946632872877
2007-01-31,ADBE,0.027619079005628877,0.00859779315244276
2007-01-31,AEP,0.028955796774940604,0.009450170575763778
2007-01-31,MSFT,0.04344252531676821,0.02127153024522253
2007-01-31,FISV,0.03503484858840267,0.013834679344854146
2007-01-31,AMZN,0.05424706278401137,0.03316813590449951
2007-01-31,GOOGL,0.04877440704519176,0.026813444299093245
2007-01-31,SNPS,0.09786490776949588,0.10794998594380677
2007-01-31,PCAR,0.06195813656688333,0.04326784875987309
2007-01-31,CTSH,0.054590474459674986,0.033589407687246504
2007-01-31,KLAC,0.022321732098120297,0.005615964978170066
2007-01-31,VGK,0.030608084085697495,0.010559440304896155
2007-01-31,WBD,0.03766686042968563,0.01599143560206422
2007-01-31,ROST,0.07200216025635373,0.05843319874328693
2007-01-31,ORLY,0.0402979827468952,0.018303545408961074
2007-02-28,BKNG,0.14625000000000002,0.15363292903651904
2007-02-28,REGN,0.01531324432600022,0.001312289416799277
2007-02-28,CSCO,0.015104601683188078,0.0012767731970178102
2007-02-28,ADBE,0.025612242469331407,0.0036710509489903446
2007-02-28,AEP,0.061245586898062226,0.02099156432688409
2007-02-28,FISV,0.037026439720843074,0.007672185797729244
2007-02-28,AMZN,0.025977926460055305,0.0037766276531898905
2007-02-28,SNPS,0.08330273789478138,0.038834145526525775
2007-02-28,PCAR,0.07623178095921794,0.03252125785389493
2007-02-28,CTSH,0.06883823502224497,0.026518848127810617
2007-02-28,KLAC,0.02893808503332904,0.004686350635561893
2007-02-28,VGK,0.02039690769282127,0.002328219185491592
2007-02-28,WBD,0.034365931626552396,0.006609238836089575
2007-02-28,ROST,0.07853969073056602,0.034520221706677255
2007-02-28,ORLY,0.0358845988711076,0.007206284346366446
2007-02-28,DLTR,0.0520430636231568,0.015157267362652932
2007-02-28,HON,0.04963884733801495,0.01378918439258322
2007-02-28,CDNS,0.049538880961067774,0.013733700961295678
2007-02-28,ISRG,0.038019762592193806,0.008089357035321673
2007-02-28,COST,0.03273143609746586,0.005995498845226919
2007-03-30,BKNG,0.09717421014789726,0.06768307822041207
2007-03-30,REGN,0.06032233887902533,0.02608161067208907
2007-03-30,ADBE,0.014237824552911643,0.0014529990741956396
2007-03-30,AEP,0.07838166017730844,0.04403591039872633
2007-03-30,FISV,0.01423771193581001,0.0014529760886760948
2007-03-30,AMZN,0.03073458529822958,0.006770687644122416
2007-03-30,SNPS,0.0449729043877721,0.014497059946016936
2007-03-30,PCAR,0.072741872911794,0.03792687158417198
2007-03-30,CTSH,0.04606863532293062,0.01521208552872455
2007-03-30,KLAC,0.04075556922876901,0.0119056192696219
2007-03-30,VGK,0.022335860174810127,0.003575884049224892
2007-03-30,WBD,0.07263420045151597,0.03781467603348836
2007-03-30,ROST,0.0494156956489119,0.017502814524125793
2007-03-30,DLTR,0.07331745324045996,0.03852944962231841
2007-03-30,HON,0.010384669517919174,0.0007729713972951797
2007-03-30,CDNS,0.05764250248013138,0.023815720095799197
2007-03-30,ISRG,0.0690094034085798,0.034134583604564304
2007-03-30,COST,0.006655661777712096,0.0003175122985775267
2007-03-30,GILD,0.06007097839818659,0.025864701736551487
2007-03-30,AAPL,0.053906262059325076,0.02082842832315343
2007-04-30,BKNG,0.07235416170249957,0.10044918298864262
2007-04-30,REGN,0.07136692878250755,0.09772673551696713
2007-04-30,ADBE,0.01321596373283788,0.0033513289090291217
2007-04-30,AEP,0.039573318684225256,0.03004860545481205
2007-04-30,AMZN,0.13262108312293944,0.33747726237700315
2007-04-30,SNPS,0.024243481397064552,0.01127740940504902
2007-04-30,PCAR,0.07757451161416143,0.1154668921213282
