date,ret
2005-01-03,0.0
2005-01-04,-0.013959424443444779
2005-01-05,-0.0001460276048717013
2005-01-06,-0.007303434026007971
2005-01-07,-0.009260276554085123
2005-01-10,0.0037495205969442225
2005-01-11,0.0005377627378797545
2005-01-12,0.010591521893056122
2005-01-13,-0.003382053622744352
2005-01-14,-0.008488158059414386
2005-01-17,-0.003654285348958619
2005-01-18,-0.002538536346365583
2005-01-19,-0.0011442046788493476
2005-01-20,-0.0030852364290576695
2005-01-21,0.002781839160773014
2005-01-24,0.0030772120229805022
2005-01-25,-0.005214435011600904
2005-01-26,0.008252372443345868
2005-01-27,-0.0028300019032576618
2005-01-28,0.00030010191398832653
2005-01-31,0.0005350501238245986
2005-02-01,-0.0009908889184203629
2005-02-02,-0.0005343801638083567
2005-02-03,-0.004604987110847669
2005-02-04,-0.00879484206493475
2005-02-07,-0.007301120265351013
2005-02-08,0.0004597812364053322
2005-02-09,0.003369806115258056
2005-02-10,0.004918644245357484
2005-02-11,-0.001478545718355595
2005-02-14,0.009029238629586711
2005-02-15,0.0033843121190351155
2005-02-16,0.0004688904038281372
2005-02-17,0.003987911226456253
2005-02-18,-0.000457418170287216
2005-02-21,-0.0003789086354956117
2005-02-22,0.015077775519848569
2005-02-23,-0.004370222723593997
2005-02-24,-0.0015160445565955971
2005-02-25,0.004781918665063278
2005-02-28,-0.002194098917862819
2005-03-01,-0.0034115785141536348
2005-03-02,-0.0027321801021555903
2005-03-03,-0.002280558830386359
2005-03-04,0.010756588602667705
2005-03-07,-0.001890687827012072
2005-03-08,0.009840372874424297
2005-03-09,0.001872775041737107
2005-03-10,0.00455555410001196
2005-03-11,0.0026002017105744013
2005-03-14,-0.008005646485218731
2005-03-15,-0.004112771095255652
2005-03-16,0.0075771301985463335
2005-03-17,-0.002381441273752394
2005-03-18,-0.004262986073657382
2005-03-21,-0.012081850334779265
2005-03-22,-0.006381554342439699
2005-03-23,-0.00643147374661146
2005-03-24,-0.004694359272944482
2005-03-25,0.0018656747374605764
2005-03-28,-0.004706705035044445
2005-03-29,0.003325083795014505
2005-03-30,-0.0017694420019866985
2005-03-31,0.004019869050349678
2005-04-01,-0.004466565160368807
2005-04-04,-0.004574610110481214
2005-04-05,0.0006171978808025003
2005-04-06,0.0007076755680688329
2005-04-07,-0.0013235561022968412
2005-04-08,0.006609759778940516
2005-04-11,0.002788690628694468
2005-04-12,-0.0043136252603307446
2005-04-13,-0.0002323255585343631
2005-04-14,-0.009071665408905805
2005-04-15,0.005868728861651906
