date,model_equity
2006-09-19 00:00:00,1.0
2006-09-20 00:00:00,1.0
2006-09-21 00:00:00,1.0
2006-09-22 00:00:00,1.0
2006-09-25 00:00:00,1.0
2006-09-26 00:00:00,1.0
2006-09-27 00:00:00,1.0
2006-09-28 00:00:00,1.0
2006-09-29 00:00:00,1.0
2006-10-02 00:00:00,1.0
2006-10-03 00:00:00,1.0
2006-10-04 00:00:00,1.0
2006-10-05 00:00:00,1.0
2006-10-06 00:00:00,1.0
2006-10-09 00:00:00,1.0
2006-10-10 00:00:00,1.0
2006-10-11 00:00:00,1.0
2006-10-12 00:00:00,1.0
2006-10-13 00:00:00,1.0
2006-10-16 00:00:00,1.0
2006-10-17 00:00:00,1.0
2006-10-18 00:00:00,1.0
2006-10-19 00:00:00,1.0
2006-10-20 00:00:00,1.0
2006-10-23 00:00:00,1.0
2006-10-24 00:00:00,1.0
2006-10-25 00:00:00,1.0
2006-10-26 00:00:00,1.0
2006-10-27 00:00:00,1.0
2006-10-30 00:00:00,1.0
2006-10-31 00:00:00,1.0
2006-11-01 00:00:00,0.9902128575233875
2006-11-02 00:00:00,0.989256727436681
2006-11-03 00:00:00,0.9868500827145935
2006-11-06 00:00:00,1.0048970672216913
2006-11-07 00:00:00,1.0094696856312817
2006-11-08 00:00:00,1.0110016887472324
2006-11-09 00:00:00,1.0054417698928095
2006-11-10 00:00:00,1.0129651316865933
2006-11-13 00:00:00,1.017457820738465
2006-11-14 00:00:00,1.025324575399758
2006-11-15 00:00:00,1.0297462909792574
2006-11-16 00:00:00,1.033916004181664
2006-11-17 00:00:00,1.031737814681566
2006-11-20 00:00:00,1.0335540570762298
2006-11-21 00:00:00,1.0377243445210664
2006-11-22 00:00:00,1.0398774751942033
2006-11-24 00:00:00,1.0388407488631013
2006-11-27 00:00:00,1.0137542894252063
2006-11-28 00:00:00,1.0184194808737033
2006-11-29 00:00:00,1.026417190543716
2006-11-30 00:00:00,1.029097367980682
2006-12-01 00:00:00,1.020938991302973
2006-12-04 00:00:00,1.036402120203045
2006-12-05 00:00:00,1.040551704499969
2006-12-06 00:00:00,1.039067000716044
2006-12-07 00:00:00,1.033626065681839
2006-12-08 00:00:00,1.0355127242606628
2006-12-11 00:00:00,1.0388453780728089
2006-12-12 00:00:00,1.0326050643436822
2006-12-13 00:00:00,1.0339883963833245
2006-12-14 00:00:00,1.0417859754072543
2006-12-15 00:00:00,1.037613328716449
2006-12-18 00:00:00,1.0282379810517128
2006-12-19 00:00:00,1.0326736132297838
2006-12-20 00:00:00,1.0304927300259885
2006-12-21 00:00:00,1.0216721218952536
2006-12-22 00:00:00,1.0153674696139616
2006-12-26 00:00:00,1.0193324920524822
2006-12-27 00:00:00,1.0306850492608788
2006-12-28 00:00:00,1.0282108583298288
2006-12-29 00:00:00,1.0223665201798608
2007-01-03 00:00:00,1.019706821991133
2007-01-04 00:00:00,1.0259376111222274
2007-01-05 00:00:00,1.0186165144349981
2007-01-08 00:00:00,1.01887063088998
2007-01-09 00:00:00,1.0228726044554441
2007-01-10 00:00:00,1.0327444523291125
2007-01-11 00:00:00,1.0458763052945264
2007-01-12 00:00:00,1.05375147444266
2007-01-16 00:00:00,1.054042882166829
2007-01-17 00:00:00,1.0573763324841252
2007-01-18 00:00:00,1.0352503348200757
2007-01-19 00:00:00,1.0412396188706776
2007-01-22 00:00:00,1.0367833081936606
2007-01-23 00:00:00,1.0464164080601568
2007-01-24 00:00:00,1.0619551168452739
2007-01-25 00:00:00,1.0438111299545643
2007-01-26 00:00:00,1.0457849538109494
2007-01-29 00:00:00,1.045200613929089
2007-01-30 00:00:00,1.0539797277282146
2007-01-31 00:00:00,1.0617078301268914
2007-02-01 00:00:00,1.0708110689765402
2007-02-02 00:00:00,1.0743709520316764
2007-02-05 00:00:00,1.0711591118405723
2007-02-06 00:00:00,1.0713463829059966
2007-02-07 00:00:00,1.0838005343569341
2007-02-08 00:00:00,1.0840391983116673
2007-02-09 00:00:00,1.072480447166302
2007-02-12 00:00:00,1.0660028158151793
2007-02-13 00:00:00,1.0781692664729563
2007-02-14 00:00:00,1.0937540292902257
2007-02-15 00:00:00,1.0918586459420312
2007-02-16 00:00:00,1.0933122574034286
2007-02-20 00:00:00,1.1002182770748385
2007-02-21 00:00:00,1.1002576987757728
2007-02-22 00:00:00,1.0979965431611236
2007-02-23 00:00:00,1.0981213699316559
2007-02-26 00:00:00,1.0885879781458718
2007-02-27 00:00:00,1.0455915804858014
2007-02-28 00:00:00,1.0482220107548161
2007-03-01 00:00:00,1.0436527118609968
2007-03-02 00:00:00,1.0240466276085765
2007-03-05 00:00:00,1.007337942900804
2007-03-06 00:00:00,1.0320470569412568
2007-03-07 00:00:00,1.0282547601095304
2007-03-08 00:00:00,1.0430669933597385
2007-03-09 00:00:00,1.0497456317663973
2007-03-12 00:00:00,1.0578801246276492
2007-03-13 00:00:00,1.034173185798818
2007-03-14 00:00:00,1.0353693593719255
2007-03-15 00:00:00,1.0407613711871122
2007-03-16 00:00:00,1.0382367733650542
2007-03-19 00:00:00,1.0543772093035402
2007-03-20 00:00:00,1.0634092772568837
2007-03-21 00:00:00,1.0784651179801095
2007-03-22 00:00:00,1.0789925128635338
2007-03-23 00:00:00,1.0774227411628545
2007-03-26 00:00:00,1.0743939878868756
2007-03-27 00:00:00,1.067508757367612
2007-03-28 00:00:00,1.0578211296231574
2007-03-29 00:00:00,1.0597394156274231
2007-03-30 00:00:00,1.058404633051031
2007-04-02 00:00:00,1.062859517413057
2007-04-03 00:00:00,1.072485921123583
2007-04-04 00:00:00,1.076582245252145
2007-04-05 00:00:00,1.0809939071849264
2007-04-09 00:00:00,1.083654324905858
2007-04-10 00:00:00,1.0852407514919538
2007-04-11 00:00:00,1.0812585152784786
2007-04-12 00:00:00,1.0861621533586427
