rebalance_date,ticker,company,country,zone,sector,rank,score,base_weight,final_weight,breadth_exposure,vol_scale,gross_exposure,turnover
2007-03-30,BKNG,BKNG,US,US,,1,0.6702197036418557,0.13029328029260806,0.13029328029260806,,,,0.5
2007-03-30,ICE,ICE,US,US,,2,0.5603268679133212,0.10892969165156338,0.10892969165156338,,,,0.5
2007-03-30,NTDOY,NTDOY,JP,JP,,3,0.5376812378612188,0.10452729433655102,0.10452729433655102,,,,0.5
2007-03-30,BASFY,BASFY,EU,EU,,4,0.4163381204978524,0.08093772704049253,0.08093772704049253,,,,0.5
2007-03-30,BAYRY,BAYRY,EU,EU,,5,0.3068654938352502,0.05965582865312363,0.05965582865312363,,,,0.5
2007-03-30,IT,IT,US,US,,6,0.2985903155991208,0.05804710227350133,0.05804710227350133,,,,0.5
2007-03-30,PCAR,PCAR,US,US,,7,0.2503097948030063,0.048661183902884826,0.048661183902884826,,,,0.5
2007-03-30,NGG,NGG,EU,EU,,8,0.2099468748676616,0.04081447749901847,0.04081447749901847,,,,0.5
2007-03-30,EQIX,EQIX,US,US,,9,0.197170589024349,0.038330718541417376,0.038330718541417376,,,,0.5
2007-03-30,VMC,VMC,US,US,,10,0.19011798771544286,0.03695966580432214,0.03695966580432214,,,,0.5
2007-03-30,BIDU,BIDU,US,US,,11,0.1848170138902684,0.03592913616654188,0.03592913616654188,,,,0.5
2007-03-30,MTD,MTD,US,US,,12,0.17862312518108062,0.03472502045149768,0.03472502045149768,,,,0.5
2007-03-30,IFNNY,IFNNY,EU,EU,,13,0.17204926071277665,0.0334470359918942,0.0334470359918942,,,,0.5
2007-03-30,AEP,AEP,US,US,,14,0.16317968454220302,0.0317227563746439,0.0317227563746439,,,,0.5
2007-03-30,SYK,SYK,US,US,,15,0.16196998574184493,0.031487586289359576,0.031487586289359576,,,,0.5
2007-03-30,CTRA,CTRA,US,US,,16,0.15542236198109705,0.030214703123922916,0.030214703123922916,,,,0.5
2007-03-30,NVO,NVO,EU,EU,,17,0.12821406508416594,0.024925305879089435,0.024925305879089435,,,,0.5
2007-03-30,AAPL,AAPL,US,US,,18,0.12271177675964358,0.023855639930711364,0.023855639930711364,,,,0.5
2007-03-30,DE,DE,US,US,,19,0.12243188663348889,0.023801228216970262,0.023801228216970262,,,,0.5
2007-03-30,ON,ON,US,US,,20,0.11694531462085336,0.02273461757988595,0.02273461757988595,,,,0.5
2007-04-30,BASFY,BASFY,EU,EU,,1,1.4343623057487664,0.15,0.15,,,,0.31505291365251054
2007-04-30,NTDOY,NTDOY,JP,JP,,2,0.8059401139279909,0.10540981732061146,0.10540981732061146,,,,0.31505291365251054
2007-04-30,BKNG,BKNG,US,US,,3,0.6488476582648832,0.08486351770389582,0.08486351770389582,,,,0.31505291365251054
2007-04-30,BIDU,BIDU,US,US,,4,0.6040688388672684,0.07900684536439621,0.07900684536439621,,,,0.31505291365251054
